,SVFNR,HEINUM,POSTNR,HEITI_NF,HEITI_TGF,HUSNR,NAKV_XY,HNIT,N_HNIT_WGS84,E_HNIT_WGS84,HUSMERKING,municipality,houses
4275,0,1004744,112.0,Fannafold,Fannafold,40.0,,POINT (363539 406876),64.13751702,-21.8034273,40,Reykjavík,"Fannafold 40, 112"
4276,0,1004745,112.0,Fannafold,Fannafold,41.0,,POINT (363460 406881),64.1375304,-21.80505269,41,Reykjavík,"Fannafold 41, 112"
64330,0,1004746,112.0,Fannafold,Fannafold,42.0,,POINT (363562 406863),64.13740967,-21.80294358,42,Reykjavík,"Fannafold 42, 112"
4277,0,1004747,112.0,Fannafold,Fannafold,43.0,,POINT (363479 406870),64.13743939,-21.80465285,43,Reykjavík,"Fannafold 43, 112"
64331,0,1004748,112.0,Fannafold,Fannafold,44.0,,POINT (363579 406852),64.13731785,-21.80258478,44,Reykjavík,"Fannafold 44, 112"
4278,0,1004749,112.0,Fannafold,Fannafold,45.0,,POINT (363502 406859),64.13734996,-21.80417095,45,Reykjavík,"Fannafold 45, 112"
64332,0,1004750,112.0,Fannafold,Fannafold,46.0,,POINT (363585 406896),64.13771453,-21.80250173,46,Reykjavík,"Fannafold 46, 112"
4279,0,1004751,112.0,Fannafold,Fannafold,47.0,,POINT (363506 406884),64.13757558,-21.80411164,47,Reykjavík,"Fannafold 47, 112"
64333,0,1004752,112.0,Fannafold,Fannafold,48.0,,POINT (363560 406903),64.13776732,-21.80302103,48,Reykjavík,"Fannafold 48, 112"
107269,0,1004753,112.0,Fannafold,Fannafold,49.0,,POINT (363485 406894),64.13765684,-21.80455161,49,Reykjavík,"Fannafold 49, 112"
6526,0,1004709,112.0,Fannafold,Fannafold,5.0,,POINT (363412 406780),64.13660622,-21.80594546,5,Reykjavík,"Fannafold 5, 112"
64334,0,1004754,112.0,Fannafold,Fannafold,50.0,,POINT (363615.247727273 406938.038636364),64.13810327,-21.80191939,50,Reykjavík,"Fannafold 50, 112"
4280,0,1004755,112.0,Fannafold,Fannafold,51.0,,POINT (363466 406909),64.1377837,-21.80495509,51,Reykjavík,"Fannafold 51, 112"
4281,0,1004757,112.0,Fannafold,Fannafold,52.0,,POINT (363616.1 406920),64.13794196,-21.80188549,52A,Reykjavík,"Fannafold 52, 112"
64336,0,1004758,112.0,Fannafold,Fannafold,53.0,,POINT (363445 406932),64.13798145,-21.80540691,53,Reykjavík,"Fannafold 53, 112"
4282,0,1004759,112.0,Fannafold,Fannafold,54.0,,POINT (363620.209090909 406912),64.13787191,-21.8017939,54,Reykjavík,"Fannafold 54, 112"
4283,0,1004761,112.0,Fannafold,Fannafold,55.0,,POINT (363435 406957),64.1382015,-21.80563486,55,Reykjavík,"Fannafold 55, 112"
24186,0,1084381,112.0,Fannafold,Fannafold,56.0,,POINT (363629 406881),64.1375976,-21.80158533,56,Reykjavík,"Fannafold 56, 112"
64338,0,1004762,112.0,Fannafold,Fannafold,57.0,,POINT (363431 406981),64.13841498,-21.8057388,57,Reykjavík,"Fannafold 57, 112"
82119,0,1101320,112.0,Fannafold,Fannafold,58.0,,POINT (363650.454545455 406920.911363636),64.13796378,-21.80118146,58,Reykjavík,"Fannafold 58, 112"
4284,0,1004763,112.0,Fannafold,Fannafold,59.0,,POINT (363427 407001),64.13859261,-21.80583909,59,Reykjavík,"Fannafold 59, 112"
6527,0,1004710,112.0,Fannafold,Fannafold,6.0,,POINT (363528 406729),64.13619535,-21.80351915,6,Reykjavík,"Fannafold 6, 112"
40204,0,1101321,112.0,Fannafold,Fannafold,60.0,,POINT (363648.020454545 406934.206818182),64.13808196,-21.80124349,60,Reykjavík,"Fannafold 60, 112"
4285,0,1004765,112.0,Fannafold,Fannafold,61.0,,POINT (363428 407030),64.13885288,-21.805845,61,Reykjavík,"Fannafold 61, 112"
40205,0,1101323,112.0,Fannafold,Fannafold,62.0,,POINT (363649.861363636 406924.722727273),64.1379977,-21.80119709,62,Reykjavík,"Fannafold 62, 112"
4286,0,1004766,112.0,Fannafold,Fannafold,63.0,,POINT (363432.45048 407042.907552),64.13897032,-21.80576545,63,Reykjavík,"Fannafold 63, 112"
40206,0,1101324,112.0,Fannafold,Fannafold,64.0,,POINT (363648.693181818 406929.584090909),64.1380408,-21.80122548,64,Reykjavík,"Fannafold 64, 112"
64340,0,1004767,112.0,Fannafold,Fannafold,65.0,,POINT (363427 407075),64.13925574,-21.80590653,65,Reykjavík,"Fannafold 65, 112"
40207,0,1101326,112.0,Fannafold,Fannafold,66.0,,POINT (363645.731818182 406947.672727273),64.13820172,-21.8013027,66A,Reykjavík,"Fannafold 66, 112"
4287,0,1004768,112.0,Fannafold,Fannafold,67.0,,POINT (363434 407093),64.13941983,-21.8057793,67,Reykjavík,"Fannafold 67, 112"
64341,0,1004769,112.0,Fannafold,Fannafold,68.0,,POINT (363680.009090909 406936.038636364),64.13811108,-21.80058884,68,Reykjavík,"Fannafold 68, 112"
4288,0,1004770,112.0,Fannafold,Fannafold,69.0,,POINT (363464 407083),64.13934215,-21.80515464,69,Reykjavík,"Fannafold 69, 112"
6528,0,1004711,112.0,Fannafold,Fannafold,7.0,,POINT (363391 406789),64.13667851,-21.8063845,7,Reykjavík,"Fannafold 7, 112"
22928,0,1087077,112.0,Fannafold,Fannafold,70.0,,POINT (363680.247727273 406932.761363636),64.13808181,-21.80058096,70,Reykjavík,"Fannafold 70, 112"
64342,0,1004771,112.0,Fannafold,Fannafold,71.0,,POINT (363466 407059),64.13912788,-21.80509174,71,Reykjavík,"Fannafold 71, 112"
22929,0,1087078,112.0,Fannafold,Fannafold,72.0,,POINT (363681.247727273 406927.761363636),64.1380374,-21.8005559,72,Reykjavík,"Fannafold 72, 112"
4289,0,1004772,112.0,Fannafold,Fannafold,73.0,,POINT (363467 407041),64.13896698,-21.80505483,73,Reykjavík,"Fannafold 73, 112"
22930,0,1087079,112.0,Fannafold,Fannafold,74.0,,POINT (363682.247727273 406922.761363636),64.13799299,-21.80053083,74,Reykjavík,"Fannafold 74, 112"
64343,0,1004773,112.0,Fannafold,Fannafold,75.0,,POINT (363466 407015),64.13873359,-21.80505166,75,Reykjavík,"Fannafold 75, 112"
67720,0,1086856,112.0,Fannafold,Fannafold,76.0,,POINT (363685.047727273 406899.256818182),64.13778347,-21.800452,76,Reykjavík,"Fannafold 76, 112"
4290,0,1004774,112.0,Fannafold,Fannafold,77.0,,POINT (363466 406995),64.13855436,-21.80503344,77,Reykjavík,"Fannafold 77, 112"
24551,0,1086858,112.0,Fannafold,Fannafold,78.0,,POINT (363685.068181818 406894.979545455),64.13774515,-21.8004477,78,Reykjavík,"Fannafold 78, 112"
64344,0,1004775,112.0,Fannafold,Fannafold,79.0,,POINT (363476 406969),64.13832535,-21.80480458,79,Reykjavík,"Fannafold 79, 112"
6529,0,1004712,112.0,Fannafold,Fannafold,8.0,,POINT (363549 406721),64.13613201,-21.80308103,8,Reykjavík,"Fannafold 8, 112"
